<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
USDCHF,20050316,00:00:00,1.1652,1.1502,1.1663,1.1522
USDCHF,20050317,00:00:00,1.1525,1.1522,1.1594,1.1575
USDCHF,20050318,00:00:00,1.1575,1.1565,1.1685,1.1643
USDCHF,20050321,00:00:00,1.1646,1.1640,1.1807,1.1786
USDCHF,20050322,00:00:00,1.1786,1.1746,1.1917,1.1878
USDCHF,20050323,00:00:00,1.1878,1.1876,1.1989,1.1957
USDCHF,20050324,00:00:00,1.1957,1.1916,1.2015,1.2006
USDCHF,20050325,00:00:00,1.2008,1.1981,1.2028,1.1996
USDCHF,20050328,00:00:00,1.1991,1.1991,1.2082,1.2036
USDCHF,20050329,00:00:00,1.2035,1.1975,1.2053,1.2013
USDCHF,20050330,00:00:00,1.2016,1.1925,1.2016,1.1998
USDCHF,20050331,00:00:00,1.2000,1.1892,1.2003,1.1962
USDCHF,20050401,00:00:00,1.1962,1.1884,1.2076,1.2037
USDCHF,20050404,00:00:00,1.2049,1.2028,1.2125,1.2088
USDCHF,20050405,00:00:00,1.2087,1.2040,1.2143,1.2067
USDCHF,20050406,00:00:00,1.2068,1.2007,1.2082,1.2052
USDCHF,20050407,00:00:00,1.2052,1.1974,1.2078,1.2074
USDCHF,20050408,00:00:00,1.2074,1.1968,1.2112,1.1981
USDCHF,20050411,00:00:00,1.1969,1.1896,1.1991,1.1935
USDCHF,20050412,00:00:00,1.1935,1.1899,1.2043,1.1991
USDCHF,20050413,00:00:00,1.1991,1.1945,1.2072,1.1993
USDCHF,20050414,00:00:00,1.1993,1.1991,1.2194,1.2147
USDCHF,20050415,00:00:00,1.2148,1.1987,1.2165,1.2002
USDCHF,20050418,00:00:00,1.2002,1.1848,1.2042,1.1868
USDCHF,20050419,00:00:00,1.1869,1.1790,1.1905,1.1812
USDCHF,20050420,00:00:00,1.1812,1.1760,1.1888,1.1771
USDCHF,20050421,00:00:00,1.1770,1.1740,1.1854,1.1826
USDCHF,20050422,00:00:00,1.1826,1.1779,1.1852,1.1809
USDCHF,20050425,00:00:00,1.1813,1.1810,1.1918,1.1879
USDCHF,20050426,00:00:00,1.1879,1.1854,1.1911,1.1860
USDCHF,20050427,00:00:00,1.1861,1.1853,1.1961,1.1930
USDCHF,20050428,00:00:00,1.1929,1.1885,1.1953,1.1923
USDCHF,20050429,00:00:00,1.1922,1.1839,1.1976,1.1952
USDCHF,20050502,00:00:00,1.1960,1.1955,1.2009,1.1984
USDCHF,20050503,00:00:00,1.1985,1.1946,1.2014,1.1985
USDCHF,20050504,00:00:00,1.1985,1.1880,1.1987,1.1910
USDCHF,20050505,00:00:00,1.1910,1.1889,1.1977,1.1931
USDCHF,20050506,00:00:00,1.1933,1.1932,1.2084,1.2063
USDCHF,20050509,00:00:00,1.2071,1.2026,1.2092,1.2034
USDCHF,20050510,00:00:00,1.2037,1.1993,1.2067,1.2006
USDCHF,20050511,00:00:00,1.2006,1.1962,1.2096,1.2058
USDCHF,20050512,00:00:00,1.2058,1.2051,1.2175,1.2170
USDCHF,20050513,00:00:00,1.2169,1.2158,1.2251,1.2240
USDCHF,20050516,00:00:00,1.2245,1.2207,1.2287,1.2227
USDCHF,20050517,00:00:00,1.2227,1.2191,1.2268,1.2244
USDCHF,20050518,00:00:00,1.2247,1.2162,1.2267,1.2179
USDCHF,20050519,00:00:00,1.2179,1.2149,1.2257,1.2218
USDCHF,20050520,00:00:00,1.2217,1.2206,1.2358,1.2338
USDCHF,20050523,00:00:00,1.2346,1.2280,1.2348,1.2314
USDCHF,20050524,00:00:00,1.2314,1.2242,1.2323,1.2294
USDCHF,20050525,00:00:00,1.2294,1.2247,1.2314,1.2266
USDCHF,20050526,00:00:00,1.2266,1.2258,1.2376,1.2355
